Sl No,Stock,EPS TTM Growth %,Day SMA50,Day SMA200,LTP,Day Chg %,Week Chg %,% Distance from 52W high,% Distance from 52W low,Golden Cross Day,Day ADX,Consolidated 30D average end of day Vol ,Consolidated 6M average end of day Vol ,Consolidated 5D average end of day Vol ,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,EPS Qtr YoY Growth %,ROCE Ann  5Y Avg %,Consolidated previous end of day Vol ,Delivery Vol  Avg Month,Delivery Vol  Avg 6M,Day SMA20,Day SMA100,ROCE Ann  %,Day ROC125,Week Close,Week SMA10,Week ADX,Month Ended Close,Prev Month Ended Close,Price to Sales TTM,Price To Sales Ann ,Promoter holding change 2Y %,Public holding current Qtr %,Market Cap,ROCE Ann  3Y Avg %,NSE Code,BSE Code,ISIN
1,Chennai Petroleum,2379.87,1264.7,1064.09,1441.43,0.22,5.42,6.46,117.8,,27.41,3143550.27,2449135.24,3113098.4,69.26,95.48,67.26,48.3,-2.69,2671.95,32.73,2374923,747142.41,588849.19,1360.4,1176.61,32.88,57.26,1321.9,1217.33,46.43,1260.6,1156.3,0.27,0.23,0,16.72,20750.8,24.22,CHENNPETRO,500110,INE178A01016
2,IIFL Finance,548.81,558.1,521.12,667.51,6.77,7.71,1.06,66.17,,50.81,2443023.64,2740536.3,3430481.6,15.87,13.8,10.92,8.86,5.49,189.3,38.31,1284680,1069919.36,1216610.9,606.91,506.04,50.39,30.76,631.15,575.76,25.86,608.65,507.8,2.02,1.37,-0.06,43.79,28917.4,46.88,IIFL,532636,INE530B01024
3,PVR INOX,387.02,1107.6,1079.42,1272.81,-0.22,3.65,2.63,34.1,,52.65,590140.86,379149.2,333441,5.75,18.99,9.75,10.78,-5.51,204.63,3.06,222939,228894.18,188046.64,1219.28,1070.54,7.5,16.51,1174,1067.92,19.42,1130.6,961.65,1.74,1.34,-0.31,18.67,11948.98,5.27,PVRINOX,532689,INE191H01014
4,JSW Dulux,383.49,3184.58,3175.19,3213.73,1.06,-1.53,16.72,17.31,,25.2,18706.5,37934.12,13479.6,17.51,27.6,16.32,369.52,19.98,-12.42,31.65,15129,9833.45,23577.21,3143.33,3131.34,20.04,2.78,3167.4,3091.57,14,2938.8,3228.1,3.91,3.59,-13.56,8.35,14283.48,33.16,JSWDULUX,500710,INE133A01011
